,accuracy,precision,recall,f1,roc_auc,median_latency_ms,disk_size_mb,train_seconds
TF-IDF + Logistic Regression,0.9572,0.7720739219712526,0.7849686847599165,0.7784679089026915,0.9747058380769121,2.647401999979593,8.727986335754395,30.192806905999987
Fine-tuned DistilBERT,0.965,0.8534883720930233,0.7661795407098121,0.8074807480748075,0.9805874603277953,16.40437150001617,256.10949516296387,236.673454623
